PnL: 377.46085008922097, Win Rate: 56.25%, Parameters: (RSI Entry: 20, RSI Exit: 62, ATR Multiplier: 1.0, Reward Ratio: 2.25, ADX Period: 5, EMA Period: 20, EMA: 90)
PnL: 377.46085008922097, Win Rate: 56.25%, Parameters: (RSI Entry: 22, RSI Exit: 62, ATR Multiplier: 1.0, Reward Ratio: 2.25, ADX Period: 5, EMA Period: 20, EMA: 90)
PnL: 377.46085008922097, Win Rate: 56.25%, Parameters: (RSI Entry: 24, RSI Exit: 62, ATR Multiplier: 1.0, Reward Ratio: 2.25, ADX Period: 5, EMA Period: 20, EMA: 90)
PnL: 377.46085008922097, Win Rate: 56.25%, Parameters: (RSI Entry: 26, RSI Exit: 62, ATR Multiplier: 1.0, Reward Ratio: 2.25, ADX Period: 5, EMA Period: 20, EMA: 90)
PnL: 376.4202390483879, Win Rate: 60.0%, Parameters: (RSI Entry: 20, RSI Exit: 62, ATR Multiplier: 1.0, Reward Ratio: 2.75, ADX Period: 5, EMA Period: 20, EMA: 60)
