PnL: 787.6356080164546, Win Rate: 55.55555555555556%, Total Trades: 27, Parameters: (RSI Entry: 34, RSI Exit: 64, ATR Multiplier: 2.5, Reward Ratio: 2.5, ADX Period: 5, EMA Period: 10, EMA: 80)
PnL: 775.1748447335824, Win Rate: 51.85185185185185%, Total Trades: 27, Parameters: (RSI Entry: 34, RSI Exit: 64, ATR Multiplier: 2.5, Reward Ratio: 2.75, ADX Period: 5, EMA Period: 10, EMA: 80)
PnL: 750.738103890911, Win Rate: 54.166666666666664%, Total Trades: 24, Parameters: (RSI Entry: 34, RSI Exit: 62, ATR Multiplier: 2.5, Reward Ratio: 2.75, ADX Period: 5, EMA Period: 30, EMA: 80)
PnL: 747.3442424812902, Win Rate: 61.111111111111114%, Total Trades: 18, Parameters: (RSI Entry: 34, RSI Exit: 64, ATR Multiplier: 2.5, Reward Ratio: 2.75, ADX Period: 5, EMA Period: 30, EMA: 80)
PnL: 738.6497833376748, Win Rate: 56.00000000000001%, Total Trades: 25, Parameters: (RSI Entry: 32, RSI Exit: 64, ATR Multiplier: 2.5, Reward Ratio: 2.5, ADX Period: 5, EMA Period: 10, EMA: 80)
