PnL: 53327.90671662578, Win Rate: 85.90604026845638%, Parameters: (RSI Entry: 38, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 0.75, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 49479.4792786131, Win Rate: 80.67226890756302%, Parameters: (RSI Entry: 32, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 49355.40162765578, Win Rate: 90.32258064516128%, Parameters: (RSI Entry: 32, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 0.75, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 48308.44576471818, Win Rate: 80.85106382978722%, Parameters: (RSI Entry: 32, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 15)
PnL: 46453.36410547977, Win Rate: 86.95652173913044%, Parameters: (RSI Entry: 34, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 0.75, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
