Timestamp,Open,High,Low,Close,Volume
2024-03-21 07:40:00,553.29,553.29,553.29,553.29,0.066
2024-03-21 07:41:00,553.2,553.2,553.2,553.2,0.028
2024-03-21 07:42:00,552.76,552.76,552.76,552.76,1.319
2024-03-21 07:43:00,552.74,552.74,552.74,552.74,0.035
2024-03-21 07:44:00,552.19,552.19,552.19,552.19,35.823
2024-03-21 07:45:00,551.04,551.04,551.04,551.04,0.03
2024-03-21 07:46:00,550.43,550.43,550.43,550.43,0.036
2024-03-21 07:47:00,550.43,550.43,550.43,550.43,0.0
2024-03-21 07:48:00,550.51,550.51,550.51,550.51,0.035
2024-03-21 07:49:00,549.92,550.76,549.92,550.76,17.351
2024-03-21 07:50:00,550.66,551.31,550.66,551.31,3.0
2024-03-21 07:51:00,550.57,550.57,550.57,550.57,1.453
2024-03-21 07:52:00,550.28,550.28,550.28,550.28,1.29
2024-03-21 07:53:00,549.89,549.94,549.89,549.94,0.166
2024-03-21 07:54:00,549.85,549.85,549.85,549.85,0.049
2024-03-21 07:55:00,550.02,550.02,550.02,550.02,1.455
2024-03-21 07:56:00,550.15,550.15,550.15,550.15,0.735
2024-03-21 07:57:00,550.17,550.17,550.17,550.17,34.707
2024-03-21 07:58:00,550.04,550.04,550.04,550.04,0.033
2024-03-21 07:59:00,549.74,550.04,549.74,550.04,4.069
2024-03-21 08:00:00,549.89,549.9,549.71,549.9,22.768
2024-03-21 08:01:00,549.9,549.9,549.9,549.9,0.0
2024-03-21 08:02:00,549.81,549.81,549.8,549.8,0.063
2024-03-21 08:03:00,550.34,550.48,550.34,550.48,9.042
2024-03-21 08:04:00,550.8,550.8,550.8,550.8,0.146
2024-03-21 08:05:00,551.77,551.77,551.77,551.77,0.029
2024-03-21 08:06:00,551.65,552.5,551.64,552.5,2.777
2024-03-21 08:07:00,552.49,552.82,552.49,552.82,5.608
2024-03-21 08:08:00,553.51,553.51,553.51,553.51,1.552
2024-03-21 08:09:00,554.64,554.71,554.39,554.39,19.909
2024-03-21 08:10:00,554.28,554.28,553.92,553.92,34.828
2024-03-21 08:11:00,553.61,553.8,553.6,553.6,4.168
2024-03-21 08:12:00,553.26,553.26,553.26,553.26,0.028
2024-03-21 08:13:00,552.53,552.53,552.53,552.53,0.145
