PnL: 45664.777356122, Win Rate: 84.90566037735849%, Parameters: (RSI Entry: 32, RSI Exit: 72, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 45335.85851591851, Win Rate: 81.14754098360656%, Parameters: (RSI Entry: 32, RSI Exit: 68, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 43119.546385999456, Win Rate: 83.03571428571429%, Parameters: (RSI Entry: 32, RSI Exit: 70, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 10)
PnL: 42027.40891351807, Win Rate: 84.688995215311%, Parameters: (RSI Entry: 32, RSI Exit: 72, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 15)
PnL: 40621.256552425926, Win Rate: 84.28571428571429%, Parameters: (RSI Entry: 32, RSI Exit: 72, ATR Multiplier: 1.0, Reward Ratio: 1.0, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 20)
