PnL: 518.9792285880594, Win Rate: 72.72727272727273%, Parameters: (RSI Entry: 24, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 2.25, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 90)
PnL: 518.9792285880594, Win Rate: 72.72727272727273%, Parameters: (RSI Entry: 24, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 2.25, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 95)
PnL: 506.6245348726678, Win Rate: 64.28571428571429%, Parameters: (RSI Entry: 26, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 2.25, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 95)
PnL: 506.6245348726678, Win Rate: 64.28571428571429%, Parameters: (RSI Entry: 26, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 2.25, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 90)
PnL: 492.88276888754143, Win Rate: 63.63636363636363%, Parameters: (RSI Entry: 24, RSI Exit: 64, ATR Multiplier: 1.0, Reward Ratio: 2.5, RSI Period: 10, ATR Period: 14, ADX Period: 5, EMA Period: 90)
